Frame Number(30fps),Head rotation X,Head rotation Y,Head rotation Z,Brow Left UP,Brow Left Down,Brow Right UP,Brow Right Down,Brow Centerize,Left Brow Outer Down,Right Brow Outer Down,Eye close Left,Eye close Right,Mouse Open,Mouse Left Smile,Mouse Right Smile,Mouse Left Spread,Mouse Right Spread,Mouse Left Fraw,Mouse Right Fraw,Mouse Left Centerize,Mouse Right Centerize,Cheek Left UP,Cheek Right UP,Left Eye rotation X,Left Eye rotation Y,Left Eye rotation Z,Right Eye rotation X,Right Eye rotation Y,Right Eye rotation Z,
0,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,7,8,13,13,4,4,2,2,2,3,0,0,0,0,0,0,
1,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,7.3,8.19,12.89,13,3.59,3.59,2,2,2.09,3,0,0,0,0,0,0,
2,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,7.59,8.39,12.8,13,3.2,3.2,2,2,2.2,3,0,0,0,0,0,0,
3,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,7.9,8.6,12.69,13,2.79,2.79,2,2,2.29,3,0,0,0,0,0,0,
4,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,8.19,8.8,12.6,13,2.4,2.4,2,2,2.4,3,0,0,0,0,0,0,
5,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,8.5,9,12.5,13,2,2,2,2,2.5,3,0,0,0,0,0,0,
6,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,8.8,9.19,12.39,13,1.6,1.6,2,2,2.59,3,0,0,0,0,0,0,
7,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,9.1,9.39,12.3,13,1.2,1.2,2,2,2.7,3,0,0,0,0,0,0,
8,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,9.39,9.6,12.19,13,0.8,0.8,2,2,2.79,3,0,0,0,0,0,0,
9,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,9.69,9.8,12.1,13,0.4,0.4,2,2,2.9,3,0,0,0,0,0,0,
10,184.8,2.9,181.69,0,0,3,0,5,0,0,4,4,0,10,10,12,13,0,0,2,2,3,3,0,0,0,0,0,0,
11,184.8,2.9,181.6,0,0,3,0,5,0,0,4,4,0,11,12,12,12,0,0,2,2,4,4,0,0,0,0,0,0,
12,184.8,2.9,181.6,0,0,3,0,5,0,0,4,4,0,11.5,12,11.5,11.5,0,0,2,2,4,4,0,0,0,0,0,0,
13,184.8,2.9,181.6,0,0,3,0,5,0,0,4,4,0,12,12,11,11,0,0,2,2,4,4,0,0,0,0,0,0,
14,184.8,2.9,181.5,0,0,3,0,5,0,0,4,4,0,12,13,12,12,0,0,2,2,4,4,0,0,0,0,0,0,
15,184.8,2.9,181.44,0,0,3,0,5,0,0,4,4,0,12.5,13,11.5,11.5,0,0,2,2,4,4,0,0,0,0,0,0,
16,184.8,2.9,181.39,0,0,3,0,5,0,0,4,4,0,13,13,11,11,0,0,2,2,4,4,0,0,0,0,0,0,
17,184.8,2.9,181.39,0,0,3,0,5,0,0,4,4,0,13,13,10,11,0,0,2,2,4,4,0,0,0,0,0,0,
18,184.8,2.9,181.39,0,0,3,0,5,0,0,4,4,0,13,13,10,10,0,0,2,2,4,4,0,0,0,0,0,0,
19,184.8,2.9,181.5,0,0,3,0,5,0,0,4,4,0,10,10,12,12,1,1,2,2,3,3,0,0,0,0,0,0,
20,184.8,2.9,181.39,0,0,3,0,5,0,0,4,4,0,10,10,11,11,1,1,2,2,3,3,0,0,0,0,0,0,
21,184.8,2.9,181.5,0,0,3,0,5,0,0,4,4,0,8,8,11,11,1,1,2,2,3,3,0,0,0,0,0,0,
22,184.8,2.9,181.5,5,0,8,0,5,0,0,4,4,0,5,5,10,11,1,1,2,2,2,2,0,0,0,0,0,0,
23,184.8,2.9,181.5,15,0,17,0,5,3,3,4,4,0,3,3,10,10,1,1,2,2,1,1,0,0,0,0,0,0,
24,184.8,2.9,181.5,30,0,32,0,5,7,7,4,4,0,3,3,8,8,0,0,2,2,1,1,0,0,0,0,0,0,
25,184.8,2.9,181.55,39.5,0,41,0,5,9.5,9.5,3.5,3.5,0,1.5,1.5,6.5,6.5,0,0,1.5,1.5,0.5,0.5,0,0,0,0,0,0,
26,184.8,2.9,181.6,49,0,50,0,5,12,12,3,3,0,0,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0,
27,184.8,2.9,181.6,69,0,69,0,5,17,17,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,
28,184.8,2.9,181.69,83,0,84,0,5,22,22,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,0,0,
29,184.8,2.9,181.8,94,0,94,0,5,24,24,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,
30,184.8,2.9,181.8,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,
31,184.8,2.9,181.8,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,
32,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,21,21,0,0,0,1.39,0,0,1.39,0,
33,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,19,19,0,0,0,1.39,0,0,1.39,0,
34,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,15,15,0,0,0,1.39,0,0,1.39,0,
35,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,13,13,0,0,0,1.39,0,0,1.39,0,
36,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,1.39,0,0,1.39,0,
37,184.8,2.9,181.89,100,0,100,0,5,25,25,0,0,0,0,0,0,0,0,0,12,12,0,0,0,1.39,0,0,1.39,0,
38,184.8,2.9,181.89,99,0,99,0,5,25,25,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,
39,184.8,2.9,181.89,87,0,87,0,5,22,22,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,
40,184.8,2.9,181.8,69,0,69,0,5,18,18,0,0,0,0,0,0,0,2,2,16,16,0,0,0,0,0,0,0,0,
41,184.8,2.9,181.8,49,5,49,5,5,14,14,0,0,0,3,3,2,2,2,2,13,13,1,1,0,0,0,0,0,0,
42,184.8,2.9,181.8,30,15,30,15,10,9,9,0,0,0,8,8,4,4,2,2,10,10,3,3,0,0,0,0,0,0,
43,184.8,2.9,181.8,15,26,15,26,18,4,4,0,0,0,8,8,6,6,2,2,5,5,3,3,0,0,0,0,0,0,
44,184.8,2.9,181.89,6,39,6,39,33,2,2,0,0,0,9,9,8,8,2,2,3,3,3,3,0,0,0,0,0,0,
45,184.8,2.9,182,3,53,3,53,49,1,1,3,3,0,9,9,11,11,1,1,1,1,3,3,0,0,0,0,0,0,
46,184.8,2.9,182,1,63,1,63,67,0,0,4,4,0,6,6,10,10,2,2,0,0,2,2,0,0,0,0,0,0,
47,184.8,2.9,182,0.5,66,0.5,66,73.5,0,0,4.5,4.5,0,3.5,3.5,9.5,9.5,2.5,2.5,0,0,1,1,0,0,0,0,0,0,
48,184.8,2.9,182,0,69,0,69,80,0,0,5,5,0,1,1,9,9,3,3,0,0,0,0,0,0,0,0,0,0,
49,184.8,2.9,182,0,73,0,73,88,0,0,5,5,0,1,1,8,8,5,5,0,0,0,0,0,0,0,0,0,0,
50,184.8,2.9,182,0,75,0,75,90,0,0,5,5,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,
51,184.8,2.9,182,0,75,0,75,89,0,0,5,5,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,
52,184.8,2.9,182.1,0,76,0,76,86,0,0,5,5,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,
53,184.8,2.9,182.1,0,76,0,76,83,0,0,5,5,0,2,2,8,8,5,5,0,0,1,1,0,0,0,0,0,0,
54,184.8,2.9,182.1,0,76,0,76,82,0,0,5,5,0,4,4,12,12,3,3,0,0,1,1,0,0,0,0,0,0,
55,184.8,2.9,182.1,0,76,0,76,81,0,0,5,5,0,7,7,14,14,2,2,0,0,2,2,0,0,0,0,0,0,
56,184.8,2.9,182.1,0,76,0,76,81,0,0,5,5,0,7,7,14,15,2,2,0,0,2,2,0,0,0,0,0,0,
57,184.8,2.9,182.1,0,73,0,73,81,0,0,5,5,0,10,10,14,14,0,0,0,0,3,3,0,0,0,0,0,0,
58,184.8,2.9,182,5,64,5,64,72,0,0,5,5,0,8,8,11,11,0,0,2,2,3,3,0,0,0,0,0,0,
59,184.8,2.9,181.89,18,51,18,51,58,3,3,4,4,0,6,6,6,6,0,0,5,5,2,2,0,0,0,0,0,0,
60,184.8,2.9,181.89,37,36,37,36,43,7,7,1,1,0,3,3,4,4,0,0,9,9,1,1,0,0,0,0,0,0,
61,184.8,2.9,181.8,58,22,58,22,28,12,12,0,0,0,3,3,1,1,0,0,12,12,1,1,0,0,0,0,0,0,
62,184.8,2.9,181.69,81,9,81,9,12,17,17,0,0,24,0,0,1,1,0,0,14,14,0,0,0,0,0,0,0,0,
63,184.8,2.9,181.69,98,4,98,4,5,22,22,0,0,52,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,
64,184.8,2.9,181.69,99,3,99,3,3.5,23,23,0,0,64.5,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,
65,184.8,2.9,181.69,100,2,100,2,2,24,24,0,0,77,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,
66,184.8,2.9,181.69,100,1,100,1,1,25,25,0,0,97,21,21,0,0,0,0,9,9,7,7,0,0,0,0,0,0,
67,184.8,2.9,181.69,100,0,100,0,0,25,25,0,0,100,21,21,0,0,0,0,8,8,7,7,0,0,0,0,0,0,
68,184.8,2.9,181.69,100,0,100,0,0,25,25,0,0,100,21,21,0,0,0,0,7,7,7,7,0,0,0,0,0,0,
69,184.8,2.9,181.8,100,0,100,0,0,26,26,0,0,100,21,21,0,0,0,0,7,7,7,7,0,0,0,0,0,0,
70,184.8,3.09,181.89,100,0,100,0,0,26,26,0,0,100,21,21,0,0,0,0,9,9,7,7,0,0,0,0,0,0,
71,184.8,3.4,181.89,100,0,100,0,0,26,26,0,0,100,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,
72,184.8,3.7,181.89,100,0,100,0,0,26,26,0,0,100,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,
73,184.8,3.9,181.89,100,0,100,0,0,26,26,0,0,100,0,0,0,0,0,0,13.5,13.5,0,0,0,0,0,0,0,0,
74,184.8,4.09,181.89,100,0,100,0,0,26,26,0,0,100,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,
75,184.8,4.4,181.8,100,0,100,0,0,26,26,0,0,100,0,0,0,0,0,0,15,15,0,0,0,-1.79,0,0,-1.79,0,
76,184.8,4.59,181.69,100,0,100,0,0,26,26,0,0,100,21,21,2,2,0,0,14,14,7,7,0,-1.79,0,0,-1.79,0,
77,184.8,4.64,181.69,100,0,100,0,0,26,26,0,0,93,33.5,34,5,5.5,0,0,13.5,13.5,11,11.5,0,-1.79,0,0,-1.79,0,
78,184.8,4.69,181.69,100,0,100,0,0,26,26,0,0,86,46,47,8,9,0,0,13,13,15,16,0,-1.79,0,0,-1.79,0,
79,184.6,4.69,181.69,96,0,96,0,0,23,23,0,0,69,74,80,20,22,0,0,11,11,25,27,0,-1.79,0,0,-1.79,0,
80,184.3,4.69,181.69,84,0,84,0,0,20,20,0,0,56,100,100,40,44,0,0,11,11,38,41,0,-1.79,0,0,-1.79,0,
81,183.8,4.69,181.8,68,0,68,0,0,17,17,0,0,51,100,100,63,72,0,0,11,11,54,60,0,0,0,0,0,0,
82,183.19,4.69,181.89,54,0,54,0,0,13,13,0,0,48,100,100,88,100,0,0,11,11,63,75,0,0,0,0,0,0,
83,182.6,4.69,182,43,0,43,0,0,10,10,0,0,47,100,100,100,100,0,0,11,11,73,90,0,0,0,0,0,0,
84,182.39,4.69,182.05,38.5,0,38.5,0,0,9,9,0,0,47.5,100,100,100,100,0,0,11,11,77.5,95,0,0,0,0,0,0,
85,182.19,4.69,182.1,34,0,34,0,0,8,8,0,0,48,100,100,100,100,0,0,11,11,82,100,0,0,0,0,0,0,
86,181.89,4.69,182.1,29,0,29,0,0,7,7,0,0,49,100,100,100,100,0,0,11,11,86,100,0,0,0,0,0,0,
87,181.69,4.69,182.1,29,0,29,0,0,7,7,0,0,50,100,100,100,100,0,0,11,11,88,100,0,0,0,0,0,0,
88,181.69,4.69,182.1,31,0,31,0,0,7,7,0,0,51,100,100,100,100,0,0,11,11,92,100,0,0,0,0,0,0,
89,181.6,4.69,182.1,34,0,34,0,0,7,7,0,0,48,100,100,100,100,0,0,11,11,93,100,0,0,0,0,0,0,
90,181.6,4.69,182.1,37,0,37,0,0,7,7,0,0,46,100,100,100,100,0,0,11,11,94,100,0,0,0,0,0,0,
91,181.6,4.69,182.1,44,0,44,0,0,7,7,0,0,45,100,100,100,100,0,0,11,11,95,100,0,0,0,0,0,0,
92,181.6,4.69,182.1,49,0,49,0,0,7,7,0,0,44,100,100,100,100,0,0,11,11,94,100,0,0,0,0,0,0,
93,181.8,4.69,182,53,0,53,0,0,7,7,0,0,32,100,100,100,100,0,0,11,11,86,100,0,0,0,0,0,0,
94,182.1,4.69,182,60,0,60,0,0,7,7,0,0,24,100,100,100,100,0,0,11,11,74,100,0,0,0,0,0,0,
95,182.35,4.69,181.94,63.5,0,63.5,0,0,7,7,0,0,16.5,100,100,99,100,0,0,11,11,67.5,95,0,0,0,0,0,0,
96,182.6,4.69,181.89,67,0,67,0,0,7,7,0,0,9,100,100,98,100,0,0,11,11,61,90,0,0,0,0,0,0,
97,183.19,4.69,181.8,74,0,74,0,0,7,7,0,0,0,100,100,77,100,0,0,11,11,43,66,0,0,0,0,0,0,
98,183.8,4.69,181.8,81,0,81,0,0,7,7,0,0,0,78,100,53,77,0,0,13,13,26,42,0,0,0,0,0,0,
99,184.19,4.69,181.8,89,0,89,0,0,7,7,0,0,0,42,69,34,47,0,0,18,18,14,23,0,0,0,0,0,0,
100,184.35,4.69,181.8,92.5,0,92.5,0,0,8,8,0,0,0,30,49,28.5,37,0,0,22,22,10,16.5,0,0,0,0,0,0,
101,184.5,4.69,181.8,96,0,96,0,0,9,9,0,0,0,18,29,23,27,0,0,26,26,6,10,0,0,0,0,0,0,
102,184.6,4.69,181.8,100,0,100,0,0,12,12,0,0,0,0,0,15,15,0,0,37,37,0,0,0,0,0,0,0,0,
103,184.69,4.69,181.8,100,0,100,0,0,15,15,0,0,0,0,0,6,6,0,0,48,48,0,0,0,0,0,0,0,0,
104,184.69,4.69,181.8,100,0,100,0,0,19,19,0,0,0,0,0,3,3,0,0,58,58,0,0,0,0,0,0,0,0,
105,184.69,4.69,181.8,100,0,100,0,0,22,22,0,0,0,0,0,1,1,0,0,66,66,0,0,0,0,0,0,0,0,
106,184.69,4.69,181.8,100,0,100,0,0,22,22,0,0,0,0,0,1,1,0,0,66,66,0,0,0,0,0,0,0,0,
107,184.94,4.69,181.8,100,0,100,0,0,23,23,0,0,0,0,0,0.5,0.5,0,0,68.5,68.5,0,0,0,0,0,0,0,0,
108,185.19,4.69,181.8,100,0,100,0,0,24,24,0,0,0,0,0,0,0,0,0,71,71,0,0,0,0,0,0,0,0,
109,185.5,4.69,181.8,100,0,100,0,0,24,24,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,
110,185.8,4.69,181.89,100,0,100,0,0,25,25,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0,0,0,0,0,
111,186.19,4.69,181.89,100,0,100,0,0,25,25,0,0,0,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,0,
112,186.3,4.69,181.89,100,0,100,0,0,25,25,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,
113,186.35,4.69,181.89,100,0,100,0,0,25,25,0,0,0,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,0,
114,186.39,4.69,181.89,100,0,100,0,0,25,25,0,0,0,0,0,0,0,0,0,73,73,0,0,0,0,0,0,0,0,
115,186.39,4.69,181.8,100,0,100,0,0,22,22,0,0,0,2,2,1,1,0,0,67,67,1,1,0,0,0,0,0,0,
116,186.19,4.69,181.8,88,0,88,0,0,18,18,0,0,0,7,10,5,7,0,0,54,54,2,3,0,0,0,0,0,0,
117,186.04,4.69,181.8,80.5,0,80.5,0,0,15.5,15.5,0,0,0,11,15,8.5,11.5,0,0,46,46,3.5,5,0,0,0,0,0,0,
118,185.89,4.69,181.8,73,0,73,0,0,13,13,0,0,0,15,20,12,16,0,0,38,38,5,7,0,0,0,0,0,0,
119,185.5,4.69,181.8,55,0,55,0,0,8,8,0,0,0,24,33,20,28,0,0,24,24,8,11,0,-2.2,0,0,-2.2,0,
120,185.19,4.69,181.8,38,0,38,0,0,4,4,0,0,0,37,51,29,41,0,0,13,13,12,17,0,-2.2,0,0,-2.2,0,
121,184.8,4.69,181.8,27,0,27,0,0,1,1,0,0,0,49,67,39,53,0,0,5,5,16,22,0,-2.2,0,0,-2.2,0,
122,184.5,4.69,181.8,20,2,20,2,0,1,1,0,0,0,60,81,52,70,0,0,2,2,20,27,0,-2.2,0,0,-2.2,0,
123,184.1,4.69,181.8,15,5,15,5,0,0,0,0,0,0,73,100,63,89,0,0,1,1,24,34,0,-2.2,0,0,-2.2,0,
124,183.8,4.69,181.8,12,11,12,11,0,0,0,0,0,0,86,100,74,100,0,0,0,0,29,43,0,0,0,0,0,0,
125,183.5,4.69,181.89,10,18,10,18,0,0,0,0,0,0,94,100,85,100,0,0,0,0,31,50,0,0,0,0,0,0,
126,183.19,4.69,181.89,10,25,10,25,0,0,0,0,0,0,100,100,97,100,0,0,0,0,34,55,0,0,0,0,0,0,
127,183.1,4.69,181.89,9.5,28,9.5,28,0,0,0,1.5,1.5,0,100,100,98.5,100,0,0,0,0,35.5,58,0,0,0,0,0,0,
128,183,4.69,181.89,9,31,9,31,0,0,0,3,3,0,100,100,100,100,0,0,0,0,37,61,0,0,0,0,0,0,
129,182.8,4.69,181.89,9,36,9,36,2,0,0,7,7,0,100,100,100,100,0,0,0,0,41,64,0,0,0,0,0,0,
130,182.5,4.69,181.8,9,38,9,38,5,0,0,9,9,0,100,100,100,100,0,0,0,0,43,64,0,0,0,0,0,0,
131,182.35,4.69,181.8,9,38,9,38,6.5,0,0,9,9,0,100,100,100,100,0,0,0,0,44,64,0,0,0,0,0,0,
132,182.19,4.69,181.8,9,38,9,38,8,0,0,9,9,0,100,100,100,100,0,0,0,0,45,64,0,0,0,0,0,0,
133,181.8,4.69,181.8,9,39,9,39,11,0,0,10,10,0,100,100,100,100,0,0,0,0,46,64,0,0,0,0,0,0,
134,181.5,4.69,181.8,9,42,9,42,14,0,0,10,10,0,100,100,100,100,0,0,0,0,47,65,0,0,0,0,0,0,
135,181.39,4.69,181.8,9,45,9,45,14,0,0,10,10,0,100,100,100,100,0,0,0,0,47,64,0,0,0,0,0,0,
136,181.3,4.69,181.8,9,50,9,50,11,0,0,10,10,0,100,100,100,100,0,0,0,0,46,67,0,0,0,0,0,0,
137,181.3,4.69,181.8,9,52,9,52,9,0,0,10,10,0,100,100,100,100,0,0,0,0,48,70,0,0,0,0,0,0,
138,181.3,4.69,181.8,9,53,9,53,6,0,0,10,10,0,100,100,100,100,0,0,0,0,51,74,0,0,0,0,0,0,
139,181.3,4.69,181.8,9,52,9,52,2,0,0,10,10,0,100,100,100,100,0,0,0,0,52,74,0,0,0,0,0,0,
140,181.3,4.69,181.8,9,49,9,49,1,0,0,10,10,0,100,100,100,100,0,0,0,0,59,81,0,-2.2,0,0,-2.2,0,
141,181.3,4.69,181.8,9,45,9,45,0,0,0,10,10,13,100,100,100,100,0,0,0,0,70,89,0,-2.2,0,0,-2.2,0,
142,181.3,4.69,181.89,9,44,9,44,0,0,0,10,10,46,100,100,100,100,0,0,0,0,80,95,0,-2.2,0,0,-2.2,0,
143,181.3,4.69,181.89,9,43.5,9,43.5,0,0,0,10,10,62,100,100,100,100,0,0,0,0,85,95,0,-2.2,0,0,-2.2,0,
144,181.3,4.69,181.89,9,43,9,43,0,0,0,10,10,78,100,100,100,100,0,0,0,0,90,95,0,-2.2,0,0,-2.2,0,
145,181.3,4.69,181.89,9,47,9,47,3,0,0,12,12,100,100,100,100,100,0,0,0,0,99,93,0,-2.2,0,0,-2.2,0,
146,181.3,4.69,181.89,9,54,9,54,7,0,0,15,15,100,100,100,100,100,0,0,0,0,99,85,0,0,0,0,0,0,
147,181.3,4.69,181.89,9,64,9,64,10,0,0,18,18,100,100,100,100,100,0,0,0,0,97,73,0,0,0,0,0,0,
148,181.3,4.69,181.89,9,76,9,78,12,0,0,21,21,100,100,100,100,100,0,0,0,0,93,63,0,0,0,0,0,0,
149,181.3,4.69,181.8,9,87,9,94,13,0,0,24,26,100,100,100,100,100,0,0,0,0,88,62,0,0,0,0,0,0,
150,181.3,4.69,181.69,9,95,9,100,12,0,0,25,30,100,100,100,100,100,0,0,0,0,84,65,0,0,0,0,0,0,
151,181.3,4.69,181.6,9,100,9,100,9,0,0,28,33,100,100,100,100,100,0,0,0,0,85,71,0,0,0,0,0,0,
152,181.3,4.69,181.6,9,100,9,100,7,0,0,31,36,100,100,100,100,100,0,0,0,0,86,74,0,0,0,0,0,0,
153,181.3,4.69,181.55,9,100,9,100,7,0,0,32.5,37.5,100,100,100,100,100,0,0,0,0,86.5,76.5,0,0,0,0,0,0,
154,181.3,4.69,181.5,9,100,9,100,7,0,0,34,39,100,100,100,100,100,0,0,0,0,87,79,0,0,0,0,0,0,
155,181.3,4.69,181.39,9,100,9,100,6,0,0,37,41,100,100,100,100,100,0,0,0,0,89,82,0,0,0,0,0,0,
156,181.3,4.69,181.39,9,100,9,100,6,0,0,40,41,100,100,100,100,100,0,0,0,0,90,84,0,0,0,0,0,0,
157,181.3,4.69,181.3,9,100,9,100,6,0,0,41,41,100,100,100,100,100,0,0,0,0,91,83,0,0,0,0,0,0,
158,181.3,4.69,181.3,9,100,9,100,9,0,0,42,42,100,100,100,100,100,0,0,0,0,91,85,0,0,0,0,0,0,
159,181.3,4.69,181.3,9,100,9,100,9,0,0,42,42,100,100,100,100,100,0,0,0,0,90,84,0,0,0,0,0,0,
160,181.3,4.69,181.5,9,100,9,100,8,0,0,42,42,100,100,100,100,100,0,0,0,0,92,86,0,0,0,0,0,0,
161,181.3,4.69,181.69,9,100,9,100,7,0,0,42,42,100,100,100,100,100,0,0,0,0,94,90,0,-1.6,0,0,-1.6,0,
162,181.3,4.69,181.89,9,100,9,100,6,0,0,42,42,100,100,100,100,100,0,0,0,0,93,97,0,-1.6,0,0,-1.6,0,
163,181.3,4.69,182.1,9,91,9,95,2,0,0,40,39,97,100,100,100,100,0,0,0,0,90,100,0,-1.6,0,0,-1.6,0,
164,181.5,4.69,182.1,9,77,9,82,1,0,0,36,35,80,100,100,100,100,0,0,0,0,87,100,0,-1.6,0,0,-1.6,0,
165,181.89,4.69,182.19,9,62,9,64,0,0,0,29,28,62,100,100,100,100,0,0,0,0,78,100,0,-1.6,0,0,-1.6,0,
166,182.3,4.9,182.1,9,46,9,46,0,0,0,21,21,45,100,100,100,100,0,0,0,0,69,96,0,0,0,0,0,0,
167,182.8,5.19,182,9,30,9,30,0,0,0,13,13,31,100,100,100,100,0,0,0,0,59,83,0,0,0,0,0,0,
168,183.6,5.59,181.89,13,17,13,17,0,3,3,7,7,11,100,100,90,100,0,0,0,0,50,66,0,0,0,0,0,0,
169,184.39,5.9,181.8,22,7,22,7,0,6,6,3,3,3,100,100,67,85,0,0,0,0,39,49,0,0,0,0,0,0,
170,184.64,6.1,181.8,28,5,28,5,0,8,8,2.5,2.5,1.5,96,100,57,71,0,0,0,0,35,42.5,0,0,0,0,0,0,
171,184.89,6.3,181.8,34,3,34,3,0,10,10,2,2,0,92,100,47,57,0,0,0,0,31,36,0,0,0,0,0,0,
172,185.39,6.4,181.69,49,1,49,1,0,15,15,1,1,0,61,70,29,34,0,0,1,1,20,23,0,0,0,0,0,0,
173,185.64,6.44,181.69,56.5,1,56.5,1,0,17,17,1,1,0,50,54.5,23,25.5,0,0,2.5,2.5,16.5,18,0,0,0,0,0,0,
